timestamp,temperature_c,min_temperature_c,max_temperature_c,humidity_pct,dew_point_c,wind_kmh,wind_direction,gust_kmh,gust_direction,pressure_hpa,precipitation_mm,precipitation_intensity_mm,solar_radiation_wm2,wet_hours
2026-03-28T00:00:00+01:00,7.9,7.8,7.9,82.0,4.3,11.3,W,38.6,WNW,1006.2,0.0,0.0,0.0,
2026-03-28T00:15:00+01:00,9.9,7.8,9.9,74.0,4.7,12.9,NNE,29.0,NNE,1006.2,0.0,0.0,0.0,
2026-03-28T00:30:00+01:00,8.7,8.7,10.2,77.0,4.1,11.3,NW,27.4,NW,1006.4,0.0,0.0,0.0,
2026-03-28T00:45:00+01:00,7.9,7.9,8.6,81.0,4.1,6.4,NNW,16.1,WSW,1006.5,0.0,0.0,0.0,
2026-03-28T01:00:00+01:00,8.2,7.9,8.2,81.0,4.4,9.7,NNW,20.9,NNW,1006.5,0.0,0.0,0.0,
2026-03-28T01:15:00+01:00,9.9,8.2,9.9,72.0,4.3,16.1,N,32.2,N,1006.4,0.0,0.0,0.0,
2026-03-28T01:30:00+01:00,10.0,9.9,10.0,73.0,4.6,17.7,NNE,35.4,N,1006.3,0.0,0.0,0.0,
2026-03-28T01:45:00+01:00,9.9,9.8,10.0,74.0,4.7,16.1,NNE,35.4,N,1006.4,0.0,0.0,0.0,
2026-03-28T02:00:00+01:00,9.6,9.6,9.9,74.0,4.4,17.7,N,38.6,N,1006.4,0.0,0.0,0.0,
2026-03-28T02:15:00+01:00,9.3,9.3,9.6,76.0,4.5,17.7,N,29.0,NNE,1006.5,0.0,0.0,0.0,
2026-03-28T02:30:00+01:00,8.9,8.9,9.3,78.0,4.5,14.5,N,27.4,N,1006.5,0.2,0.0,0.0,
2026-03-28T02:45:00+01:00,8.9,8.9,9.0,79.0,4.7,14.5,N,25.7,NW,1006.5,0.0,0.0,0.0,
2026-03-28T03:00:00+01:00,8.8,8.8,8.9,78.0,4.4,14.5,NNW,30.6,NNE,1006.4,0.2,0.0,0.0,
2026-03-28T03:15:00+01:00,8.7,8.7,8.9,80.0,4.7,16.1,NNW,35.4,N,1006.5,0.0,0.0,0.0,
2026-03-28T03:30:00+01:00,8.8,8.6,8.8,79.0,4.6,19.3,N,33.8,N,1006.5,0.2,0.0,0.0,
2026-03-28T03:45:00+01:00,9.1,8.7,9.1,76.0,4.3,19.3,NNE,33.8,N,1006.5,0.0,0.0,0.0,
2026-03-28T04:00:00+01:00,9.3,9.2,9.3,75.0,4.3,20.9,NNE,35.4,NE,1006.6,0.0,0.0,0.0,
2026-03-28T04:15:00+01:00,9.7,9.3,9.7,74.0,4.5,19.3,NNE,37.0,NE,1006.5,0.0,0.0,0.0,
2026-03-28T04:30:00+01:00,9.7,9.6,9.8,70.0,3.7,22.5,NNE,40.2,NNE,1006.5,0.0,0.0,0.0,
2026-03-28T04:45:00+01:00,9.5,9.4,9.7,74.0,4.3,22.5,NNE,43.5,NE,1006.6,0.0,0.0,0.0,
2026-03-28T05:00:00+01:00,8.5,8.5,9.4,80.0,4.5,14.5,NNW,37.0,NW,1006.6,0.0,0.0,0.0,
